,0
GP_61_NA5,6.029330215414582
GP_90_PA1,336.34000161141006
GP_71_PU2,0.0331073226201976
GP_26N_NA,11.091003768168394
GP_26N_PU3,0.02065699428235592
GP_15S_NA2_D1644,38.6199589975602
GP_61_PA1,10.691472501607347
GP_71_PA1,12.390306320234432
GP_22_NA,25.494519454403935
GP_08S_SA2,6.269646772740057
GP_62_NA3_P,59.64013943119715
GP_72_XA2,8.394616121884644
GP_21_PU,0.01566485397281514
GP_26S_NU1,0.12040451720954799
GP_72_PR3,0.7016522314592203
GP_03_PU1,0.004028743485708851
GP_62_NA3,215.28532203987314
GP_15N_NA1,33.80496149112394
GP_09_NA,80.87957003754207
GP_26S_NA,0.0
GP_02_NA,5.823516030611154
GP_91_PR,0.7321945892167824
GP_WBATOTAL_21,90.6960446093767
GP_16_PU,1.890278944185174
GP_05_NU,4.99999993343142
GP_WBATOTAL_15N,42.10226133440902
GP_WBATOTAL_24,64.41001504031723
GP_08N_PR2,0.0
GP_63_NA5,1.423576366883579
GP_17N_NU,0.09900000034837099
GP_71_PA6,16.143581169294116
GP_WBATOTAL_62,556.0306682112193
GP_62_NA6_P,4.061614177105284
GP_64_NA1,0.0
GP_WBATOTAL_8N,193.90691525266664
GP_12_NU2,0.09900000034837099
GP_22_NU,2.000000006139874
GP_22_SA1,34.85324757640844
GP_24_NU3,0.12884449356869296
GP_62_NA3_D,155.645182608676
GP_WBATOTAL_5,182.54393291698992
GP_26N_NU3,15.648906105809953
GP_15N_NA2_LYRA,2.8457156931527776
GP_61_PA1_D,3.797314406424474
GP_EBMUD,3.1510153291262544
GP_02_SA,2.767719155750254
GP_12_SA,3.512728087856614
GP_60N_NA4,46.9171493997023
GP_26S_NU3,2.4464768891406283
GP_WBATOTAL_61,332.1758554849795
GP_63_NA3,132.19134590484921
GP_04_NA,172.26038324877
GP_23_NA,130.49660448904996
GP_71_PU1,0.8000000382984149
GP_08N_SA2,35.3506002928787
GP_08S_NA2,33.26274697124595
GP_60S_NA1,0.0
GP_WBATOTAL_11,132.09182823003283
GP_03_PA,1.278323624314309
GP_SACWBA,3071.5718100698737
GP_06_PA,5.749454500495821
