,Scenario,S_OROVL,S_FOLSM,S_SHSTA,S_TRNTY,S_SLUIS_SWP,S_SLUIS_CVP,C_LWSTN,D_LWSTN_CCT011,C_WKYTN,C_KSWCK,C_SAC097,C_FTR059,C_FTR003,C_YUB006,C_SAC083,C_NTOMA,C_AMR004,GP_SACWBA,C_CAA003,C_CAA003_SWP,C_CAA003_CVP,C_CAA003_WTS,C_DMC000,C_DMC000_CVP,C_DMC000_WTS,SWP_TA_TOTAL,SWP_IN_TOTAL,SWP_CO_TOTAL,icy,icm,iwy,iwm,cfs_taf
1921-10-31 23:59:59,Baseline,2176.3003426990895,519.764776349748,2936.6424137751223,1771.0224391511647,480.1734469783424,202.7352161323305,373.0,1484.490306712963,199.99999999999997,7246.836801870366,6436.646428985846,3460.6631457504445,4113.829002811348,571.5240163179348,11560.849269390998,3496.2964505879045,3334.828758037554,2944.967071271894,2386.0585922359473,2386.0585922359473,0.0,0.0,801.8535467715561,801.8535467715561,0.0,5732.276976313194,23.25672043164516,0.0,1921,10,1922,1,0.061487603
1921-10-31 23:59:59,Orov_Sens,2176.188558720522,519.764776349748,2936.6424137751223,1771.0224391511647,480.1734469783424,202.7352161323305,373.0,1484.490306712963,199.99999999999997,7246.836801870366,6436.646428985846,3460.6631457504445,4113.829002811348,571.5240163179348,11560.849269390998,3496.2964505879045,3334.828758037554,2944.967071271894,2386.0585922359473,2386.0585922359473,0.0,0.0,801.8535467715561,801.8535467715561,0.0,5732.276976313194,23.25672043164516,0.0,1921,10,1922,1,0.061487603
1921-11-30 23:59:59,Baseline,2104.373940650806,444.8436921811484,2777.7882251413894,1734.6102371216264,386.39561457767945,358.0744851922633,300.0,645.4530088062114,199.99999999999994,7250.6050197675295,6563.160458181137,1700.0,2683.1268058105948,529.9999999999999,10790.044941592943,1999.9999999999998,1884.880129680399,1290.3940340092443,5362.758176377665,3319.374689049648,2043.3834873280175,0.0,4600.0,4600.000000000002,0.0,5122.164368505833,24.031944446033336,0.0,1921,11,1922,2,0.059504132
1921-11-30 23:59:59,Orov_Sens,2104.2106018961663,444.8436921811484,2777.7882251413894,1734.6102371216264,386.39561457767945,358.0744851922633,300.0,645.4530088062114,199.99999999999994,7250.6050197675295,6563.160458181137,1700.0,2683.1268058105948,529.9999999999999,10790.044941592943,1999.9999999999998,1884.880129680399,1290.3940340092443,5362.758176377665,3319.374689049648,2043.3834873280175,0.0,4600.0,4600.000000000002,0.0,5122.164368505833,24.031944446033336,0.0,1921,11,1922,2,0.059504132
1921-12-31 23:59:59,Baseline,2151.72865854521,455.4686831753222,2945.8572491326167,1740.169881482214,579.9929889284376,567.9111883708451,300.00000000000006,183.3221804301909,199.99999999999997,3250.0,7314.876583235293,1700.0,3839.287818959433,767.5795295219768,11104.383798432635,1999.9999999999998,2025.2170845662156,866.9819804815021,7420.710474611247,7420.710474611247,0.0,0.0,4600.0,4600.0,0.0,4585.211135086415,148.64784947219354,0.0,1921,12,1922,3,0.061487603
1921-12-31 23:59:59,Orov_Sens,2151.5393338956633,455.4686831753222,2945.8572491326167,1740.169881482214,579.9929889284376,567.9111883708451,300.00000000000006,183.3221804301909,199.99999999999997,3250.0,7314.876583235293,1700.0,3839.287818959433,767.5795295219768,11104.383798432635,1999.9999999999998,2025.2170845662156,866.9819804815021,7420.710474611247,7420.710474611247,0.0,0.0,4600.0,4600.0,0.0,4585.211135086415,148.64784947219354,0.0,1921,12,1922,3,0.061487603
1922-01-31 23:59:59,Baseline,2147.5346825248666,471.08316284965855,3073.8332252468736,1739.6285672362278,728.9673493809871,740.1076652379277,300.0,195.36807654479637,199.99999999999997,3250.0000000000014,6430.433602324653,1700.0,2825.6125739910954,695.883045361175,12550.59906247202,1750.0000000000002,1704.6459481652516,902.8588293107954,2985.442119370075,2985.442119370075,0.0,0.0,4478.1631790551055,4478.1631790551055,0.0,509.7164259295655,148.64784947219354,0.0,1922,1,1922,4,0.061487603
1922-01-31 23:59:59,Orov_Sens,2147.325738345531,471.08316284965855,3073.8332252468736,1739.6285672362278,728.9717525737822,740.1076652379277,300.0,195.36807654479637,199.99999999999997,3250.0000000000014,6430.433602324653,1700.0,2825.612573991094,695.883045361175,12550.599062472018,1750.0000000000002,1704.6459481652516,902.8588293107954,2985.4421193700755,2985.4421193700755,0.0,0.0,4478.163179055109,4478.163179055109,0.0,509.63986630275434,148.64784947219354,0.0,1922,1,1922,4,0.061487603
1922-02-28 23:59:59,Baseline,2415.976295501042,566.9999999999999,3455.049795324069,1763.038166759861,929.3382289468591,930.776993649086,299.99999999999994,85.8618956784941,380.0595238214285,3249.999999999998,15955.517852468802,1700.0,8535.43981549601,2243.995433339789,21425.275908810014,4058.2233931509386,4070.4061302913783,208.24488637960968,4736.9347698722595,4736.934769872232,2.728484105318785e-11,0.0,4599.999999999974,4599.999999999974,0.0,1036.79392276196,0.0,0.0,1922,2,1922,5,0.05553719
1922-02-28 23:59:59,Orov_Sens,2415.7403469465557,566.9999999999999,3455.049795324069,1763.038166759861,929.3535098270992,930.776993649086,299.99999999999994,85.8618956784941,380.0595238214285,3249.9999999999986,15955.517852468802,1700.0,8535.439815496029,2243.995433339789,21425.27590881002,4058.2233931509386,4070.4061302913783,208.24488637960968,4736.934769872234,4736.934769872234,0.0,0.0,4600.0,4600.0,0.0,1036.596230692203,0.0,0.0,1922,2,1922,5,0.05553719
