idate,icy,icm,iwy,iwm,cfs_taf
10/31/1921 23:59:59,1921,10,1922,1,0.061487603
11/30/1921 23:59:59,1921,11,1922,2,0.059504132
12/31/1921 23:59:59,1921,12,1922,3,0.061487603
1/31/1922 23:59:59,1922,1,1922,4,0.061487603
2/28/1922 23:59:59,1922,2,1922,5,0.05553719
3/31/1922 23:59:59,1922,3,1922,6,0.061487603
4/30/1922 23:59:59,1922,4,1922,7,0.059504132
5/31/1922 23:59:59,1922,5,1922,8,0.061487603
6/30/1922 23:59:59,1922,6,1922,9,0.059504132
7/31/1922 23:59:59,1922,7,1922,10,0.061487603
8/31/1922 23:59:59,1922,8,1922,11,0.061487603
9/30/1922 23:59:59,1922,9,1922,12,0.059504132
10/31/1922 23:59:59,1922,10,1923,1,0.061487603
11/30/1922 23:59:59,1922,11,1923,2,0.059504132
12/31/1922 23:59:59,1922,12,1923,3,0.061487603
1/31/1923 23:59:59,1923,1,1923,4,0.061487603
2/28/1923 23:59:59,1923,2,1923,5,0.05553719
3/31/1923 23:59:59,1923,3,1923,6,0.061487603
4/30/1923 23:59:59,1923,4,1923,7,0.059504132
5/31/1923 23:59:59,1923,5,1923,8,0.061487603
6/30/1923 23:59:59,1923,6,1923,9,0.059504132
7/31/1923 23:59:59,1923,7,1923,10,0.061487603
8/31/1923 23:59:59,1923,8,1923,11,0.061487603
9/30/1923 23:59:59,1923,9,1923,12,0.059504132
10/31/1923 23:59:59,1923,10,1924,1,0.061487603
11/30/1923 23:59:59,1923,11,1924,2,0.059504132
12/31/1923 23:59:59,1923,12,1924,3,0.061487603
1/31/1924 23:59:59,1924,1,1924,4,0.061487603
2/29/1924 23:59:59,1924,2,1924,5,0.057520661
3/31/1924 23:59:59,1924,3,1924,6,0.061487603
4/30/1924 23:59:59,1924,4,1924,7,0.059504132
5/31/1924 23:59:59,1924,5,1924,8,0.061487603
6/30/1924 23:59:59,1924,6,1924,9,0.059504132
7/31/1924 23:59:59,1924,7,1924,10,0.061487603
